"KB","Path"
"85.9","timetable\page.tsx"
"48.4","settings\page.tsx"
"43.1","students\page.tsx"
"41.1","calendar\page.tsx"
"38.9","students\[id]\page.tsx"
"36.6","attendance\reports\page.tsx"
"34.3","admin\permissions\page.tsx"
"33.8","admin\subjects\page.tsx"
"32.6","students\[id]\progress\page.tsx"
"29.8","admin\enrollments\page.tsx"
"29.2","grades\reports\page.tsx"
"29","grades\analytics\page.tsx"
"28.5","classes\[id]\page.tsx"
"25.5","grades\assignments\page.tsx"
"25","grades\entry\page.tsx"
"24","classes\[id]\edit\page.tsx"
"23.6","attendance\history\page.tsx"
"23.1","attendance\page.tsx"
"23","tutors\page.tsx"
"22.1","users\page.tsx"
"21.9","attendance\mark\page.tsx"
"21.9","admin\students\[id]\page.tsx"
"21.2","my-schedule\page.tsx"
"19.7","grades\transcripts\page.tsx"
"19.6","debug-all-apis\page.tsx"
"19.5","reports\page.tsx"
"19.2","admin\grading-scales\page.tsx"
"18.3","grades\page.tsx"
"18.3","settings\sessions\page.tsx"
"17.5","profile\page.tsx"
"17.3","page.tsx"
"17.1","students\import\page.tsx"
"16.9","students\[id]\transcript\page.tsx"
"16.7","students\[id]\edit\page.tsx"
"15.6","admin\import\page.tsx"
"15.5","admin\semesters\page.tsx"
"14.9","notifications\page.tsx"
"14.3","search\page.tsx"
"14.2","admin\backup\page.tsx"
"13.9","admin\academic-years\page.tsx"
"13.8","admin\health\page.tsx"
"13.4","admin\audit\page.tsx"
"13.1","admin\data\page.tsx"
"12.6","parent\link-student\page.tsx"
"12.5","classes\page.tsx"
"11.3","admin\data-viewer\page.tsx"
"11.1","students\bulk\page.tsx"
"8.9","admin\invitations\page.tsx"
"8.5","admin\data-dump\page.tsx"
"8.2","parent\page.tsx"
"7.8","admin\students\parent-links\page.tsx"
"5.7","admin\diagnostic\page.tsx"
"2","admin\impersonate\[id]\page.tsx"
"0.5","admin\students\page.tsx"
"0.4","admin\student\page.tsx"
"0.2","admin\impersonate\page.tsx"
